image_id,strong_mu_greenspace,strong_sigma_greenspace,mod_mu_greenspace,mod_sigma_greenspace,slight_mu_greenspace,slight_sigma_greenspace,n_greenspace,lat,lon,angle,urban_cat,avg_mu_greenspace,avg_sigma_greenspace,abs_mu_greenspace,strong_mu_relax,strong_sigma_relax,mod_mu_relax,mod_sigma_relax,slight_mu_relax,slight_sigma_relax,n_relax,avg_mu_relax,avg_sigma_relax,abs_mu_relax,strong_mu_safe,strong_sigma_safe,mod_mu_safe,mod_sigma_safe,slight_mu_safe,slight_sigma_safe,n_safe,avg_mu_safe,avg_sigma_safe,abs_mu_safe,strong_mu_beauty,strong_sigma_beauty,mod_mu_beauty,mod_sigma_beauty,slight_mu_beauty,slight_sigma_beauty,n_beauty,avg_mu_beauty,avg_sigma_beauty,abs_mu_beauty
iFPUvXVYHaiJVrWfMWggAQ_270,25.91050647,2.160186836,26.95445875,2.486565359,29.38111959,2.895090254,14,47.26590209,-122.4992487,side,0,27.2476684,2.513947483,2.247668403,31.46384185,2.383729841,35.67555353,2.926989951,35.61919485,2.95165632,11,34.05188927,2.754125371,9.051889267,23.62810425,1.756816887,23.61356198,1.883372129,21.6612797,2.214135454,21,23.05070059,1.95144149,1.949299414,27.06073904,1.940312874,26.4611108,2.143874396,24.09104521,2.322972891,16,25.95751295,2.135720053,0.95751295
yiT5nzwrCiayAjYoSRC0Rw_136,23.66552319,2.280333238,25.42530738,2.583185024,24.52714222,2.946330173,11,47.6368071,-122.305605,side,0,24.50126274,2.603282812,0.498737259,27.96495789,2.319178302,30.24730682,2.741134809,30.59482137,2.778890677,13,29.50407849,2.613067929,4.504078487,26.30156074,1.734620389,24.72386946,1.967357054,25.24491419,2.115914145,19,25.46599189,1.939297196,0.465991888,27.26946924,1.9936228,25.76656115,2.301759739,26.82618263,2.451160439,15,26.64910153,2.248847659,1.649101528
Q2EScmhfaGEiL6xzQBougg_91,27.1607505,2.066386917,26.77504965,2.375854013,25.63869695,2.576657352,15,47.62843145,-122.3060546,side,0,26.57831666,2.339632761,1.57831666,27.56666515,2.282829749,28.75690624,2.483695576,28.02491176,2.538714459,14,28.10103786,2.435079928,3.101037861,28.40392274,2.249218644,27.54572385,2.593809607,27.3666873,2.685969784,16,27.807607,2.509666012,2.807606996,25.61651021,1.863067306,26.06225152,2.119917118,27.32859062,2.358955104,22,26.26999684,2.113979843,1.269996842
KrsHs9V72DaOFAJ_sWXiIg_270,25.86284308,2.157600302,27.73096996,2.416082704,27.57429041,2.60066136,13,47.51205757,-122.1875251,side,0,26.99708462,2.391448122,1.99708462,27.12401651,2.154587669,27.21187274,2.379659378,27.54816636,2.473264594,15,27.28574317,2.335837214,2.285743166,26.51442752,2.191438657,25.34455331,2.469716501,25.5157492,2.76184401,11,25.83161543,2.474333056,0.831615433,25.19448279,2.203942521,27.4129676,2.576971052,27.9996376,2.654682418,12,26.76822549,2.478531997,1.768225491
_Z7hUkjU9QrEUGX3T121bQ_270,26.1614028,2.10801823,28.03191418,2.51326695,28.83205929,2.665582321,15,47.64791069,-122.4046546,side,0,27.56121858,2.428955834,2.561218583,19.53192838,3.218012571,17.74733596,3.51358002,18.22849685,3.573666491,7,18.534831,3.435086361,6.465168995,24.32572103,1.799014179,23.98290525,1.992507355,23.74409236,2.165159583,17,24.03572147,1.985560372,0.964278532,28.06778324,2.446625129,29.9936631,2.697475054,30.96271672,2.889200136,11,29.59230532,2.677766773,4.592305317
nNGdrKhoZ4hGOLyFEiYg8g_0,23.69037174,2.519861254,22.39741917,3.002000866,20.81813734,3.266439507,10,47.63655492,-122.3462267,side,0,22.4260046,2.929433876,2.573995403,20.18148157,2.27691062,15.57859647,2.728183431,11.7348899,3.125163546,14,16.28181514,2.710085865,8.718184857,26.69080095,2.740409421,28.34532134,3.162461405,25.89729654,3.538304911,8,27.00096121,3.147058579,2.000961207,24.54379703,1.980274934,22.1374503,2.146999865,21.05774982,2.399491984,15,22.68893616,2.175588927,2.311063835
p3lvcKDiwxk4O-aFexVQzg_274,27.83926233,2.925792563,26.71091868,3.138769085,27.78122367,3.333393008,9,47.45646093,-122.1526761,side,0,27.44681572,3.132651552,2.446815719,28.28106087,2.199286555,30.02460401,2.611034703,31.423263,2.786824098,14,29.78148619,2.532381785,4.781486189,26.58573538,2.327942607,26.23124149,2.678622701,26.16338074,2.910850104,12,26.34373372,2.639138471,1.343733719,28.00687603,2.34141011,30.15814925,2.660085255,31.13234629,2.904061148,13,29.64973824,2.635185504,4.649738242
OzAzXBo991hYWWLqugivZw_90,12.19896967,2.609535236,10.04410032,2.674072639,9.013340944,2.874034853,18,47.57642041,-122.3351367,side,0,10.46679151,2.719214242,14.53320849,16.9624575,2.665672784,8.719395127,3.602527973,8.539823877,3.608091637,12,11.99136577,3.292097465,13.00863423,17.03479299,3.028811996,11.83727883,4.108014935,11.92900907,4.194184414,11,13.97750545,3.777003781,11.02249455,18.13359988,2.301741894,12.03798387,3.1459829,8.615906709,3.443067049,14,13.62450585,2.963597281,11.37549415
GkkHx2qHRi3nxRLdOjx7mA_0,27.07282389,2.307154527,24.91077158,2.812610806,25.06171326,2.9368263,12,47.66502478,-122.3616896,side,0,25.78595692,2.685530544,0.785956915,27.12155351,2.359938515,26.76102982,2.77507134,26.37575508,2.837840576,12,26.77599272,2.65761681,1.775992715,25.87563754,1.867778304,28.6299926,2.174316794,28.04396549,2.303998627,18,27.42032681,2.115364575,2.420326812,27.39528301,2.431516518,29.88817181,2.742132269,29.08743006,2.908527098,11,28.72672116,2.694058628,3.726721163
BmbQWdvJgiZseWJWklRtbg_20,27.36196587,2.395054731,28.40185717,2.621776578,28.09947,2.816536268,15,47.82293589,-122.2521746,side,0,27.93257903,2.611122526,2.932579032,27.87767968,2.120322685,30.05684954,2.430669954,29.91584315,2.491393891,15,29.21261356,2.347462177,4.212613562,29.91736532,1.943289849,32.47945162,2.1905289,32.41451054,2.334465863,16,31.51748035,2.15609487,6.517480349,24.90005658,2.013224371,27.89038939,2.234418757,28.11681657,2.424699011,16,26.86438493,2.224114046,1.864384928
