image_id,strong_mu_greenspace,strong_sigma_greenspace,mod_mu_greenspace,mod_sigma_greenspace,slight_mu_greenspace,slight_sigma_greenspace,n_greenspace,lat,lon,angle,urban_cat,avg_mu_greenspace,avg_sigma_greenspace,abs_mu_greenspace,strong_mu_relax,strong_sigma_relax,mod_mu_relax,mod_sigma_relax,slight_mu_relax,slight_sigma_relax,n_relax,avg_mu_relax,avg_sigma_relax,abs_mu_relax,strong_mu_safe,strong_sigma_safe,mod_mu_safe,mod_sigma_safe,slight_mu_safe,slight_sigma_safe,n_safe,avg_mu_safe,avg_sigma_safe,abs_mu_safe,strong_mu_beauty,strong_sigma_beauty,mod_mu_beauty,mod_sigma_beauty,slight_mu_beauty,slight_sigma_beauty,n_beauty,avg_mu_beauty,avg_sigma_beauty,abs_mu_beauty
t7HJwYCF_jQllItMLzSEiw_271,23.437367651728014,2.068717945156345,21.300424816072347,2.7168675382783976,21.26085797623463,3.1268246688670005,12,47.87132744,-122.1902077,straight,0,22.1715481443122,2.6374700507672473,2.828451855687799,23.641346346410955,1.9525808906391706,23.734332854668356,2.592047720023244,22.902703551697993,2.719583851788571,12,23.455094815124873,2.4214041541503284,1.5449051848751267,25.77560027788997,1.9290549637385441,34.812887515595314,2.82983191748416,35.74853639082614,3.0566430518138947,13,31.160673132014978,2.605176644345533,6.160673132014978,23.792887203403883,2.0320037987325446,26.492407987720846,2.59859650127688,28.3479729174323,2.8543376128514897,12,25.939633465896488,2.4949793042869715,0.9396334658964882
SEKmWikFntX3kGle8YzC5Q_348,26.590655436409232,2.15982115972311,27.513770350184767,2.7248613633650343,25.40520033293098,3.084444171090594,10,47.67414376,-117.3376649,side,1,26.551183542208804,2.6563755647262464,1.551183542208804,25.335126335321327,1.9254492257863558,25.214719860241214,2.491851930207951,25.079198933802928,2.621620114015814,13,25.22304530079691,2.3463070900033736,0.22304530079691176,25.059561347084014,2.181303246615442,21.0472235506305,2.8046930413729805,19.948185596708267,3.0402903102436234,11,22.33923125547641,2.6754288660773486,2.6607687445235904,24.1734683458592,2.0776888819939154,24.430291777371806,2.5122119413081316,22.783046979492834,3.0652333870887585,11,23.882011347883395,2.5517114034636017,1.1179886521166047
fe0gSgfSS8x2dIUCq8DWIQ_248,24.977410281160562,1.8838128883435623,17.397451608834103,2.8789658045579123,12.837987123910022,3.3213265127199576,13,47.61385166,-122.33456059999999,straight,0,19.645408920982227,2.694701735207144,5.354591079017773,23.334054698212807,2.393032985851917,10.861485678978255,4.291598452661077,10.916524735335923,4.250513464849466,9,16.75770024248234,3.64504830112082,8.24229975751766,24.681184683206894,1.7413875222561552,18.962296439658708,2.4299174227440643,17.018811090101703,2.6546077052804424,14,20.83531699864558,2.2753042167602207,4.164683001354419,24.104171847996092,1.5177429373372617,21.65878191031788,1.9287136749891103,22.65336300185072,2.044021606089263,23,22.917512894014234,1.830159406138545,2.0824871059857664
FnYzldZyj6y4G389xzwb5g_323,21.279786599566187,2.298635574134989,15.79194420299122,2.6683843683318567,14.20457734550595,3.033505050885737,11,47.61546926,-122.35274340000001,side,0,17.427957215091453,2.666841664450861,7.572042784908547,23.818033200985813,2.230303741596736,15.013408542053538,3.5411063282133703,15.869960659475229,3.6143996597362262,9,19.167219527913023,3.128603243182111,5.832780472086977,24.2683825231964,1.8691706436679938,24.279330274232326,2.6397015310144085,22.964501000111166,2.8813841803420157,13,23.912781018923617,2.4634187850081393,1.0872189810763828,23.579618861590273,1.9366997079787172,21.4876550672233,2.536690110248175,19.508563325136457,2.8414292585545584,13,21.79154336494747,2.438273025593817,3.2084566350525314
NF9B8FP3b-Ya8pCdPdxv5w_176,24.883532680270278,1.8032257756182013,21.724324832783154,2.5003847733283484,20.921798227766875,2.805150487120156,14,47.0402302,-122.8877597,straight,1,22.842478595242856,2.3695870120222353,2.1575214047571443,23.077361672185393,2.097456484042691,22.34478601990157,2.607676101026378,19.861449366104956,2.8768423362951387,12,21.919281511144554,2.5273249737880694,3.080718488855446,24.60121784550698,1.8464234759294067,23.800070609509557,2.3230477048004583,26.698348879561212,2.694160770424238,14,24.923969490520772,2.2878773170513678,0.07603050947922796,25.491515263831445,1.8143506304837176,25.879246743902726,2.2244235374721018,27.01597417785896,2.432725209557763,16,26.058851805003997,2.157166459171194,1.0588518050039966
AAHGWiSq7LSow8uwMkPh7w_0,28.14416870086324,2.142179368675735,31.999645623928462,2.915333826184751,32.239299066635155,2.9976853167441178,14,47.64680835,-122.4135845,side,0,30.495520038264786,2.6850661705348675,5.495520038264786,26.34486104254231,1.5852537871290386,31.223677105090736,2.25279918618683,31.104703000516885,2.331988642480502,22,29.142804636455026,2.05668053859879,4.1428046364550255,26.34030656629529,1.7331112306683274,30.42310041408511,2.3194668956684583,32.13642812857242,2.447910028242652,17,29.25424830460205,2.166829384859813,4.254248304602051,28.04681286134501,2.001323630382461,33.117295809424235,2.490452346936025,33.138896313846786,2.5854049266674415,15,31.15671295243304,2.359060301328643,6.15671295243304
9pF9Sjdf29LHgGCKf32g7Q_62,24.687850852020187,1.719291409386067,23.145413091807427,2.1038595083754346,20.678956703835695,2.4459364200352844,17,47.95269571,-122.2600328,side,0,23.06951311187759,2.0896957792655955,1.9304868881224095,25.3117681473802,2.166975899340081,34.44303424267038,3.1457354614856907,36.88735653766495,3.4165921965436024,11,31.17975953783618,2.909767852456458,6.17975953783618,25.618091464544225,1.7338134980420703,28.024288265292647,2.1201793318244104,30.27964285490493,2.273767577894076,16,27.75826310269284,2.042586802586852,2.7582631026928404,26.348041299492586,1.6470308991078884,35.59516337832366,2.5031835626638332,38.45797231218596,2.7462211973287336,19,32.259864079042096,2.2988118863668183,7.259864079042096
YPfeRUfiLNBBNLgXZymoAA_110,25.18060166516726,1.610289960905801,22.06598560603265,2.392164199233054,22.218958707756997,2.5886651023442493,19,47.59799191,-122.0147095,side,0,23.464454174187413,2.1970397541610347,1.5355458258125871,25.497175125545123,1.7898249144486091,26.098944794881525,2.349236474212662,27.1516564658643,2.557105707289842,15,26.15380960993655,2.232055698650371,1.1538096099365482,25.073771330038564,1.6656424662416052,28.68474356243362,2.055741247022726,34.079258531894524,2.708530479897331,16,28.563701135399974,2.1433047310538877,3.563701135399974,26.439595087239383,1.6758364634007714,34.4378117479934,2.318623532357314,39.58608837956833,2.9737094797741666,17,32.20851118885831,2.3227231585107506,7.20851118885831
p1I_RZxqqbjRO48IPd5WpA_38,24.221401553195943,1.9541692287920311,18.89433211298506,2.931670328282359,16.89981690785406,3.4919759279120672,13,46.74539311,-117.1765699,side,2,20.785862775567832,2.792605161662152,4.214137224432168,24.21114344047902,2.128313510238574,22.499323064548907,2.710063392736346,21.574208157153414,2.990743871882266,10,22.921225347364025,2.609706924952395,2.0787746526359747,25.004416812845214,1.6289029300472597,23.949008116561252,2.014455360713163,21.249075576981124,2.3440271350841195,18,23.621142716905258,1.9957951419481805,1.3788572830947423,24.542681315113416,1.7557805842788774,19.029779599981723,2.6672990418081155,19.56419097634721,2.714998138394906,15,21.57147571593356,2.3793592548272997,3.428524284066441
-5-3k5wBq7KPPqE-H_FXgw_90,24.394080522267082,2.058680047085262,27.221388453738125,2.6423356155917883,23.5664866622834,2.973616743598608,11,47.67214212,-122.29607879999999,straight,0,25.053552734966694,2.5582108020918866,0.05355273496669355,25.05992125058361,2.1194833608499466,21.478046551384622,2.8058895496580716,21.886094706866462,2.8716251534941266,11,23.035346665156194,2.5989993546673817,1.9646533348438062,25.242698048573732,1.9010629679604014,27.542263727792186,2.4167903487673064,29.979930674249097,2.8003829454904685,13,27.28075706489213,2.372745420739392,2.2807570648921285,23.296606191725328,1.8295399393026088,22.969727320014105,2.259657590076806,22.344564027158462,2.3362573033302123,15,22.906979144841017,2.1418182775698758,2.093020855158983
