img,avg_mu_greenspace,avg_sigma_greenspace,abs_mu_greenspace,image_id_x,n_greenspace,urban_cat,lat,lon,angle,image_id_y,bMean_greenspace,bStd_greenspace,bMean_x,bStd_x,avg_mu_relax,avg_sigma_relax,abs_mu_relax,image_id_x,n_relax,bMean_relax,bStd_relax,bMean_y,bStd_y,avg_mu_safe,avg_sigma_safe,abs_mu_safe,image_id_y,n_safe,bMean_safe,bStd_safe,bMean,bStd,avg_mu_beauty,avg_sigma_beauty,abs_mu_beauty,image_id,n_beauty,bMean_beauty,bStd_beauty
xbfxOvOLpSV1LU4Z2FjP1g_90,31.82213481,2.006975935,6.822134809,xbfxOvOLpSV1LU4Z2FjP1g_90,19,1,47.61591035,-122.6392172,straight,xbfxOvOLpSV1LU4Z2FjP1g_90,-2.472496042,20.31849653,-6.013715749,21.21293087,29.20914616,2.667758086,4.209146159,xbfxOvOLpSV1LU4Z2FjP1g_90,12,-6.013715749,21.21293087,0.766617034,19.84410629,25.34771662,2.208574879,0.347716616,xbfxOvOLpSV1LU4Z2FjP1g_90,14,0.766617034,19.84410629,-3.603101446,14.12850854,28.75130952,2.664245563,3.751309518,xbfxOvOLpSV1LU4Z2FjP1g_90,11,-3.603101446,14.12850854
r-WvMY9V1n7eCdOxVv2gAQ_180,24.07079668,2.025068618,0.929203317,r-WvMY9V1n7eCdOxVv2gAQ_180,19,1,47.97487455,-122.0885947,side,r-WvMY9V1n7eCdOxVv2gAQ_180,-2.641732644,24.24443881,0.719709777,22.73511586,25.60695918,2.073211357,0.60695918,r-WvMY9V1n7eCdOxVv2gAQ_180,18,0.719709777,22.73511586,-8.516818038,20.53861136,26.46913136,2.400891332,1.46913136,r-WvMY9V1n7eCdOxVv2gAQ_180,12,-8.516818038,20.53861136,-2.32752298,18.06289557,25.80026546,2.68442323,0.800265462,r-WvMY9V1n7eCdOxVv2gAQ_180,10,-2.32752298,18.06289557
BKIqdINhxJ08KzP3Ix5CZA_180,22.99657546,2.318975996,2.003424538,BKIqdINhxJ08KzP3Ix5CZA_180,15,1,48.7561345,-122.4592301,straight,BKIqdINhxJ08KzP3Ix5CZA_180,1.792277352,18.37822298,1.792016154,22.46099781,26.78248709,2.275425048,1.78248709,BKIqdINhxJ08KzP3Ix5CZA_180,14,1.792016154,22.46099781,1.762165855,25.76070983,24.40276007,2.102544886,0.597239933,BKIqdINhxJ08KzP3Ix5CZA_180,15,1.762165855,25.76070983,0.978354563,20.26286573,23.68623047,2.218654512,1.313769531,BKIqdINhxJ08KzP3Ix5CZA_180,15,0.978354563,20.26286573
R_Ql6xCPPamWiN-JQaB-7g_183,29.23030047,2.264253051,4.230300473,R_Ql6xCPPamWiN-JQaB-7g_183,16,0,47.64914032,-122.1230035,side,R_Ql6xCPPamWiN-JQaB-7g_183,-0.851974762,19.94394374,-0.872996326,19.39660183,28.85712578,2.263836254,3.857125778,R_Ql6xCPPamWiN-JQaB-7g_183,16,-0.872996326,19.39660183,-0.897792429,23.20123614,27.80557579,2.640415977,2.805575792,R_Ql6xCPPamWiN-JQaB-7g_183,9,-0.897792429,23.20123614,0.768857274,20.03653967,30.23860688,2.366582475,5.238606884,R_Ql6xCPPamWiN-JQaB-7g_183,14,0.768857274,20.03653967
M1xtqIphyCwdUfR2d263yQ_112,23.54670645,2.441499212,1.453293549,M1xtqIphyCwdUfR2d263yQ_112,13,2,48.11949026,-123.436552,straight,M1xtqIphyCwdUfR2d263yQ_112,1.473588412,17.59619736,-1.525262337,11.68590305,18.39662889,3.195227148,6.60337111,M1xtqIphyCwdUfR2d263yQ_112,10,-1.525262337,11.68590305,-0.015798911,17.40663287,24.18461384,2.108471276,0.815386155,M1xtqIphyCwdUfR2d263yQ_112,15,-0.015798911,17.40663287,-2.582563078,14.57604876,20.27557501,3.013749936,4.724424989,M1xtqIphyCwdUfR2d263yQ_112,10,-2.582563078,14.57604876
c-tzi0K1WvezO6PExOUniA_268,17.61078022,2.376271731,7.389219782,c-tzi0K1WvezO6PExOUniA_268,17,1,45.74140895,-122.6580159,straight,c-tzi0K1WvezO6PExOUniA_268,6.021962487,17.97552383,-0.076867003,18.96802042,21.67367007,2.079160961,3.326329927,c-tzi0K1WvezO6PExOUniA_268,22,-0.076867003,18.96802042,2.097817447,27.82665451,25.52372071,2.031098794,0.523720714,c-tzi0K1WvezO6PExOUniA_268,16,2.097817447,27.82665451,-0.244583541,19.66152449,23.69523329,2.082139011,1.304766714,c-tzi0K1WvezO6PExOUniA_268,16,-0.244583541,19.66152449
UoSJCRvBSjjLAuqqZH-RLA_229,30.0321145,2.676152814,5.032114502,UoSJCRvBSjjLAuqqZH-RLA_229,14,1,46.07635481,-118.3215978,straight,UoSJCRvBSjjLAuqqZH-RLA_229,-0.026129386,10.18753207,-0.720533899,15.65528203,27.94349132,2.93754298,2.943491318,UoSJCRvBSjjLAuqqZH-RLA_229,9,-0.720533899,15.65528203,-2.619053158,18.75101664,24.89062377,2.245026651,0.109376231,UoSJCRvBSjjLAuqqZH-RLA_229,15,-2.619053158,18.75101664,-1.593919168,16.22511237,27.49569789,2.833309886,2.49569789,UoSJCRvBSjjLAuqqZH-RLA_229,9,-1.593919168,16.22511237
OTizdrW1wu9k_7TV8C5p_g_181,25.77057619,2.602556244,0.770576191,OTizdrW1wu9k_7TV8C5p_g_181,10,1,47.03369294,-122.8948857,side,OTizdrW1wu9k_7TV8C5p_g_181,3.145747578,22.27223163,7.891551204,23.3758711,24.41717141,2.331770748,0.58282859,OTizdrW1wu9k_7TV8C5p_g_181,16,7.891551204,23.3758711,-2.304352565,13.56414694,20.00254241,2.404890692,4.997457592,OTizdrW1wu9k_7TV8C5p_g_181,13,-2.304352565,13.56414694,1.024105725,18.62482816,20.75333329,2.542932781,4.246666711,OTizdrW1wu9k_7TV8C5p_g_181,15,1.024105725,18.62482816
GBfu41FkVXRT0V2lOLFzyg_90,17.20688702,2.707026806,7.793112984,GBfu41FkVXRT0V2lOLFzyg_90,11,1,45.41431885,-122.8445752,side,GBfu41FkVXRT0V2lOLFzyg_90,4.508351162,19.2403045,1.892476024,19.77314993,25.29277566,2.093136804,0.292775658,GBfu41FkVXRT0V2lOLFzyg_90,17,1.892476024,19.77314993,2.291369421,17.89626699,27.30984597,3.081967707,2.309845972,GBfu41FkVXRT0V2lOLFzyg_90,9,2.291369421,17.89626699,-2.629046614,4.379754999,28.38135094,3.654694914,3.381350942,GBfu41FkVXRT0V2lOLFzyg_90,6,-2.629046614,4.379754999
bLyFfmE4B8pxPiU0fFvn8w_270,26.81069707,2.595219691,1.810697073,bLyFfmE4B8pxPiU0fFvn8w_270,10,1,45.54485457,-122.9116792,side,bLyFfmE4B8pxPiU0fFvn8w_270,5.271378776,29.63162334,3.029044833,24.32722041,20.54448576,2.244525046,4.455514236,bLyFfmE4B8pxPiU0fFvn8w_270,14,3.029044833,24.32722041,0.086502388,18.30183649,27.44053027,2.249233795,2.440530273,bLyFfmE4B8pxPiU0fFvn8w_270,15,0.086502388,18.30183649,1.33716475,20.201259,25.26813436,2.517193602,0.268134361,bLyFfmE4B8pxPiU0fFvn8w_270,11,1.33716475,20.201259
GMoo4gXBTWV2sMlU9c3rcw_90,21.06027986,2.948316986,3.939720143,GMoo4gXBTWV2sMlU9c3rcw_90,9,0,47.62291153,-122.3593731,side,GMoo4gXBTWV2sMlU9c3rcw_90,0.095441672,18.0718693,-2.218176205,19.67891688,23.1433938,2.713114026,1.856606196,GMoo4gXBTWV2sMlU9c3rcw_90,10,-2.218176205,19.67891688,-3.21919524,23.63380232,28.33380536,2.546940888,3.333805363,GMoo4gXBTWV2sMlU9c3rcw_90,10,-3.21919524,23.63380232,1.507368091,21.8889501,23.43496791,2.145642736,1.565032088,GMoo4gXBTWV2sMlU9c3rcw_90,16,1.507368091,21.8889501
m7sPC6ogp7ql2MRK-_3xyg_359,18.87348906,2.752126504,6.12651094,m7sPC6ogp7ql2MRK-_3xyg_359,10,1,45.53126882,-122.6948836,side,m7sPC6ogp7ql2MRK-_3xyg_359,5.237107844,16.88374312,2.580345734,23.58854115,21.90907426,3.006866092,3.090925739,m7sPC6ogp7ql2MRK-_3xyg_359,8,2.580345734,23.58854115,-1.941807185,24.81371775,21.44033463,2.487212251,3.559665365,m7sPC6ogp7ql2MRK-_3xyg_359,11,-1.941807185,24.81371775,2.662196934,17.77161612,21.10102941,2.397616505,3.898970589,m7sPC6ogp7ql2MRK-_3xyg_359,14,2.662196934,17.77161612
qz4OKoKchAp4B43nUPj6-g_122,24.7143116,2.027864785,0.285688397,qz4OKoKchAp4B43nUPj6-g_122,20,2,46.72234051,-117.1931501,side,qz4OKoKchAp4B43nUPj6-g_122,1.078877563,18.96264106,-1.135288049,23.42947156,25.83084341,2.276921936,0.830843414,qz4OKoKchAp4B43nUPj6-g_122,16,-1.135288049,23.42947156,3.178683951,22.32364103,26.28719913,2.068581288,1.287199135,qz4OKoKchAp4B43nUPj6-g_122,17,3.178683951,22.32364103,-0.305877956,23.57316931,24.9988104,2.074780721,0.001189598,qz4OKoKchAp4B43nUPj6-g_122,18,-0.305877956,23.57316931
gjPb54FZmYCqT_Sc37p12Q_1,20.70651589,2.29272326,4.293484109,gjPb54FZmYCqT_Sc37p12Q_1,16,0,47.62992873,-122.3684332,straight,gjPb54FZmYCqT_Sc37p12Q_1,0.655871371,18.42467688,-0.656725734,9.170974466,22.54922521,2.745845009,2.450774794,gjPb54FZmYCqT_Sc37p12Q_1,11,-0.656725734,9.170974466,1.021479781,27.64318258,23.13015527,1.982477447,1.869844731,gjPb54FZmYCqT_Sc37p12Q_1,18,1.021479781,27.64318258,0.520124454,21.74309196,21.58112991,2.372582597,3.418870086,gjPb54FZmYCqT_Sc37p12Q_1,15,0.520124454,21.74309196
3qHmJK6ajRD_TNSeQbaC4w_167,19.87795798,2.869308364,5.122042019,3qHmJK6ajRD_TNSeQbaC4w_167,9,0,47.24689905,-122.4468988,straight,3qHmJK6ajRD_TNSeQbaC4w_167,-0.991304974,16.48265173,-0.860663156,19.87659931,21.35274037,2.21316194,3.647259627,3qHmJK6ajRD_TNSeQbaC4w_167,19,-0.860663156,19.87659931,5.378678889,24.58778851,25.7083683,2.432033654,0.708368297,3qHmJK6ajRD_TNSeQbaC4w_167,11,5.378678889,24.58778851,2.759562906,20.03721987,21.42947083,2.796701602,3.570529169,3qHmJK6ajRD_TNSeQbaC4w_167,12,2.759562906,20.03721987
wW9tHCriUFMoCAK6G77Fkg_182,25.51651722,2.341460688,0.516517217,wW9tHCriUFMoCAK6G77Fkg_182,13,1,47.03299448,-122.8989111,side,wW9tHCriUFMoCAK6G77Fkg_182,1.901598502,17.96818382,-2.51117881,19.80447599,23.8518729,2.404013363,1.148127104,wW9tHCriUFMoCAK6G77Fkg_182,13,-2.51117881,19.80447599,-5.494255459,27.27607665,24.58377773,2.37914731,0.41622227,wW9tHCriUFMoCAK6G77Fkg_182,12,-5.494255459,27.27607665,0.112452073,22.38939222,24.50879437,2.068166702,0.491205625,wW9tHCriUFMoCAK6G77Fkg_182,17,0.112452073,22.38939222
JhKLBZSW4q6cNiGmhLskhw_270,26.28915807,2.683665765,1.289158073,JhKLBZSW4q6cNiGmhLskhw_270,12,0,47.27954622,-122.4861664,straight,JhKLBZSW4q6cNiGmhLskhw_270,-4.336695935,20.78969673,-0.582813084,20.1981769,27.37401546,2.231456243,2.374015459,JhKLBZSW4q6cNiGmhLskhw_270,16,-0.582813084,20.1981769,0.663773678,19.39224558,26.63761724,2.024993621,1.637617244,JhKLBZSW4q6cNiGmhLskhw_270,18,0.663773678,19.39224558,-2.198671221,19.55072574,26.91110381,2.208354635,1.911103805,JhKLBZSW4q6cNiGmhLskhw_270,14,-2.198671221,19.55072574
ot5iRNkWzyutyGPGdxhpfw_301,27.80629889,2.28074415,2.806298886,ot5iRNkWzyutyGPGdxhpfw_301,14,0,47.39309333,-122.0220298,straight,ot5iRNkWzyutyGPGdxhpfw_301,-2.812530361,27.98299209,-1.525049458,23.82529633,27.65649868,2.111657825,2.656498678,ot5iRNkWzyutyGPGdxhpfw_301,17,-1.525049458,23.82529633,-0.72061761,23.92226552,24.33967411,2.66476936,0.660325888,ot5iRNkWzyutyGPGdxhpfw_301,9,-0.72061761,23.92226552,-0.70971793,20.52774658,26.42862308,2.072962255,1.428623076,ot5iRNkWzyutyGPGdxhpfw_301,18,-0.70971793,20.52774658
4yjLLn6mI0r7OAsQJ327UQ_2,27.36078527,2.77615973,2.360785272,4yjLLn6mI0r7OAsQJ327UQ_2,12,0,47.7112184,-122.0946825,straight,4yjLLn6mI0r7OAsQJ327UQ_2,-2.353517666,19.58331727,0.880600184,22.36216697,30.83691842,3.063707793,5.836918421,4yjLLn6mI0r7OAsQJ327UQ_2,9,0.880600184,22.36216697,0.077163648,26.96261613,26.37216326,1.990814351,1.372163264,4yjLLn6mI0r7OAsQJ327UQ_2,17,0.077163648,26.96261613,-1.420545611,23.36254506,28.20138827,1.865561043,3.201388266,4yjLLn6mI0r7OAsQJ327UQ_2,19,-1.420545611,23.36254506
N4vhfRQ8_ioanRAOao8MMw_317,18.56447877,3.290254928,6.43552123,N4vhfRQ8_ioanRAOao8MMw_317,9,0,47.60999984,-122.3364935,straight,N4vhfRQ8_ioanRAOao8MMw_317,2.054619546,15.24895136,-0.212093706,13.77367301,19.27403931,3.572252498,5.725960695,N4vhfRQ8_ioanRAOao8MMw_317,9,-0.212093706,13.77367301,3.375484198,24.44284562,22.62206783,2.15851891,2.377932171,N4vhfRQ8_ioanRAOao8MMw_317,15,3.375484198,24.44284562,3.477321648,25.98261482,20.05766948,2.92536186,4.942330516,N4vhfRQ8_ioanRAOao8MMw_317,9,3.477321648,25.98261482
iTKc5LESDGdyxL-TxQjZ0Q_23,22.45033144,2.917375779,2.549668564,iTKc5LESDGdyxL-TxQjZ0Q_23,10,0,47.26427445,-122.2008981,side,iTKc5LESDGdyxL-TxQjZ0Q_23,3.50064229,15.79745556,-2.237153899,23.64201864,25.35948818,3.462247439,0.359488181,iTKc5LESDGdyxL-TxQjZ0Q_23,6,-2.237153899,23.64201864,-0.139801735,9.103121024,31.5880295,2.894853435,6.588029499,iTKc5LESDGdyxL-TxQjZ0Q_23,16,-0.139801735,9.103121024,-0.517303608,16.3356593,30.31644028,2.292293753,5.316440279,iTKc5LESDGdyxL-TxQjZ0Q_23,16,-0.517303608,16.3356593
iGQH7DKSfWxKrgjBNiRO_g_197,28.46833307,2.513331393,3.468333068,iGQH7DKSfWxKrgjBNiRO_g_197,12,1,47.43669764,-120.2772777,side,iGQH7DKSfWxKrgjBNiRO_g_197,1.906441148,17.72797041,-0.938925733,23.52229519,28.31630345,2.277635394,3.316303448,iGQH7DKSfWxKrgjBNiRO_g_197,14,-0.938925733,23.52229519,1.845148475,17.60438024,31.41916152,3.070284719,6.419161516,iGQH7DKSfWxKrgjBNiRO_g_197,9,1.845148475,17.60438024,-0.901903349,23.82876334,27.26112494,2.347248281,2.261124938,iGQH7DKSfWxKrgjBNiRO_g_197,12,-0.901903349,23.82876334
sIRp9A-tCI_6hU54YzA9cg_180,27.48470501,2.971309558,2.484705008,sIRp9A-tCI_6hU54YzA9cg_180,12,0,47.22192307,-122.389733,straight,sIRp9A-tCI_6hU54YzA9cg_180,0.091772195,16.55696166,0.040645253,21.37161819,23.19895117,2.260117239,1.801048827,sIRp9A-tCI_6hU54YzA9cg_180,15,0.040645253,21.37161819,0.553865406,23.51335146,26.37388281,2.623229569,1.373882812,sIRp9A-tCI_6hU54YzA9cg_180,11,0.553865406,23.51335146,-0.083008233,19.52966325,25.24231671,2.154894877,0.242316705,sIRp9A-tCI_6hU54YzA9cg_180,19,-0.083008233,19.52966325
xaegYCotJmjo7Jc6DyHMyg_285,20.729232,2.424583172,4.270768,xaegYCotJmjo7Jc6DyHMyg_285,14,1,45.51729043,-122.6805234,straight,xaegYCotJmjo7Jc6DyHMyg_285,1.22479035,18.75646216,-0.674290124,14.33142756,17.6148811,2.373213635,7.3851189,xaegYCotJmjo7Jc6DyHMyg_285,18,-0.674290124,14.33142756,3.960781175,24.25764702,22.01007852,2.234573141,2.989921476,xaegYCotJmjo7Jc6DyHMyg_285,15,3.960781175,24.25764702,-1.659669736,17.04383664,20.09122407,2.164233148,4.908775927,xaegYCotJmjo7Jc6DyHMyg_285,17,-1.659669736,17.04383664
Ot-U-gFZfDz8kxODwPoUdw_147,27.30170222,2.19471085,2.301702215,Ot-U-gFZfDz8kxODwPoUdw_147,16,0,47.6835955,-122.1038869,side,Ot-U-gFZfDz8kxODwPoUdw_147,2.764902204,21.85827507,1.145084586,21.70360069,25.07027775,2.095009644,0.070277749,Ot-U-gFZfDz8kxODwPoUdw_147,19,1.145084586,21.70360069,-5.414172232,24.88078729,26.7005152,2.119890966,1.700515198,Ot-U-gFZfDz8kxODwPoUdw_147,17,-5.414172232,24.88078729,-0.899454441,15.50586605,24.93079359,3.067674264,0.069206405,Ot-U-gFZfDz8kxODwPoUdw_147,8,-0.899454441,15.50586605
Jy1FCksoJeXLiPghvI5QWA_108,26.24588094,2.444464045,1.245880936,Jy1FCksoJeXLiPghvI5QWA_108,10,0,47.4472564,-122.2027838,straight,Jy1FCksoJeXLiPghvI5QWA_108,1.881478387,27.42583029,-3.076839165,23.89328877,24.0795348,2.363253928,0.920465196,Jy1FCksoJeXLiPghvI5QWA_108,14,-3.076839165,23.89328877,-1.797718945,16.33786461,26.68012855,2.461913442,1.680128555,Jy1FCksoJeXLiPghvI5QWA_108,14,-1.797718945,16.33786461,0.960692111,24.1205109,22.61704944,1.905055988,2.382950559,Jy1FCksoJeXLiPghvI5QWA_108,22,0.960692111,24.1205109
sNzsI1YChhCMuEAcQa--Gg_169,30.57290947,2.390163579,5.572909466,sNzsI1YChhCMuEAcQa--Gg_169,14,1,45.45385567,-122.5012984,straight,sNzsI1YChhCMuEAcQa--Gg_169,-4.668889386,12.58086612,-1.441201294,24.18550052,32.85796278,2.736164958,7.857962784,sNzsI1YChhCMuEAcQa--Gg_169,10,-1.441201294,24.18550052,-4.070316146,24.00665694,26.01119407,2.611686717,1.011194068,sNzsI1YChhCMuEAcQa--Gg_169,9,-4.070316146,24.00665694,1.85798173,26.51265438,26.89288484,2.883306338,1.892884842,sNzsI1YChhCMuEAcQa--Gg_169,8,1.85798173,26.51265438
fOmVWn3Gh3qQG--V6I6rEQ_359,21.0914528,2.451673987,3.908547204,fOmVWn3Gh3qQG--V6I6rEQ_359,14,1,48.72318658,-122.4957965,straight,fOmVWn3Gh3qQG--V6I6rEQ_359,-5.89391736,14.0622135,-2.71908298,18.921721,21.19302344,2.362139152,3.80697656,fOmVWn3Gh3qQG--V6I6rEQ_359,16,-2.71908298,18.921721,-2.973807953,19.41537847,23.4836504,2.476771684,1.516349597,fOmVWn3Gh3qQG--V6I6rEQ_359,12,-2.973807953,19.41537847,-1.778961831,24.94521159,24.41684778,2.316557257,0.583152215,fOmVWn3Gh3qQG--V6I6rEQ_359,15,-1.778961831,24.94521159
eY9g1NZPwaHfPII40q1DoQ_349,25.23561979,2.577494754,0.235619793,eY9g1NZPwaHfPII40q1DoQ_349,11,0,47.81365176,-122.2385801,side,eY9g1NZPwaHfPII40q1DoQ_349,1.632662042,19.01559622,-0.571777251,20.08059848,23.86620505,2.382118486,1.133794945,eY9g1NZPwaHfPII40q1DoQ_349,13,-0.571777251,20.08059848,-3.924563033,11.6423412,30.23933759,2.626362054,5.239337594,eY9g1NZPwaHfPII40q1DoQ_349,12,-3.924563033,11.6423412,-2.678092173,22.09516618,30.75304085,3.173953578,5.753040854,eY9g1NZPwaHfPII40q1DoQ_349,11,-2.678092173,22.09516618
mG2C075VqDtUMI3-hGV2Vw_180,28.81710256,2.582656258,3.817102564,mG2C075VqDtUMI3-hGV2Vw_180,12,1,45.44285819,-122.6885343,side,mG2C075VqDtUMI3-hGV2Vw_180,-3.804459386,24.50605052,-0.101608219,19.56237122,27.90725407,2.765788738,2.907254075,mG2C075VqDtUMI3-hGV2Vw_180,10,-0.101608219,19.56237122,0.616788293,22.82709358,22.6868755,1.986492216,2.313124504,mG2C075VqDtUMI3-hGV2Vw_180,18,0.616788293,22.82709358,-3.728341212,35.0549505,25.35521286,2.68072322,0.355212859,mG2C075VqDtUMI3-hGV2Vw_180,9,-3.728341212,35.0549505
ETUytomk01JZxACTZwIgUA_42,28.03035619,2.365760999,3.030356193,ETUytomk01JZxACTZwIgUA_42,14,1,47.77770541,-117.4157552,straight,ETUytomk01JZxACTZwIgUA_42,3.026404521,19.64613134,-0.189867495,19.33889498,29.33430858,2.404384616,4.334308582,ETUytomk01JZxACTZwIgUA_42,13,-0.189867495,19.33889498,2.930250673,16.57674471,26.59676745,2.266590607,1.596767451,ETUytomk01JZxACTZwIgUA_42,13,2.930250673,16.57674471,-1.651500683,23.37130126,27.81097975,2.685319407,2.810979752,ETUytomk01JZxACTZwIgUA_42,11,-1.651500683,23.37130126
ctVBruVYPiaxyklImj3AYw_90,21.29629211,1.997936823,3.703707891,ctVBruVYPiaxyklImj3AYw_90,20,0,47.67943405,-122.4020462,straight,ctVBruVYPiaxyklImj3AYw_90,-4.38371479,18.56617697,1.918083756,21.04951164,24.58162053,2.400607951,0.418379471,ctVBruVYPiaxyklImj3AYw_90,14,1.918083756,21.04951164,-1.415698189,16.20432643,24.15985849,2.094414127,0.840141509,ctVBruVYPiaxyklImj3AYw_90,16,-1.415698189,16.20432643,2.350763788,22.76588599,22.83691193,2.008894183,2.16308807,ctVBruVYPiaxyklImj3AYw_90,17,2.350763788,22.76588599
o52-MFpZUd45kR3DXavvUg_338,22.88927655,2.519692342,2.110723451,o52-MFpZUd45kR3DXavvUg_338,12,2,46.72798915,-117.1631573,side,o52-MFpZUd45kR3DXavvUg_338,-1.940380472,33.90133358,3.899967596,26.18760517,21.86464287,2.278273716,3.13535713,o52-MFpZUd45kR3DXavvUg_338,15,3.899967596,26.18760517,-2.216036298,22.05666105,25.11176972,2.642336196,0.111769721,o52-MFpZUd45kR3DXavvUg_338,10,-2.216036298,22.05666105,1.521322633,27.41219309,22.51693522,2.498496478,2.483064779,o52-MFpZUd45kR3DXavvUg_338,13,1.521322633,27.41219309
mVmfgHAqAJv9VyqekHt7ZQ_95,19.99291291,2.624774033,5.007087091,mVmfgHAqAJv9VyqekHt7ZQ_95,13,0,47.53650477,-122.0731343,straight,mVmfgHAqAJv9VyqekHt7ZQ_95,-0.721665441,14.20133709,3.00407316,13.24416827,22.48181407,2.35677734,2.518185929,mVmfgHAqAJv9VyqekHt7ZQ_95,15,3.00407316,13.24416827,-1.375675642,24.02671108,22.57481583,2.120658575,2.425184172,mVmfgHAqAJv9VyqekHt7ZQ_95,17,-1.375675642,24.02671108,-0.596731147,11.2953512,19.879521,2.844650125,5.120479003,mVmfgHAqAJv9VyqekHt7ZQ_95,11,-0.596731147,11.2953512
