id,lat,lon,month,year,viewCat,viewAngle,GSVHeading,NAME10,sampleCat,UATYP10,proposed_c,proposed_p,joinVal,panid,wall,building,sky,floor,tree,ceiling,road,bed,windowpane,grass,cabinet,sidewalk,person,earth,door,table,mountain,plant,curtain,chair,car,water,painting,sofa,shelf,house,sea,mirror,rug,field,armchair,seat,fence,desk,rock,wardrobe,lamp,bathtub,railing,cushion,base,box,column,signboard,chest of drawers,counter,sand,sink,skyscraper,fireplace,refrigerator,grandstand,path,stairs,runway,case,pool table,pillow,screen door,stairway,river,bridge,bookcase,blind,coffee table,toilet,flower,book,hill,bench,countertop,stove,palm,kitchen island,computer,swivel chair,boat,bar,arcade machine,hovel,bus,towel,light,truck,tower,chandelier,awning,streetlight,booth,television receiver,airplane,dirt track,apparel,pole,land,bannister,escalator,ottoman,bottle,buffet,poster,stage,van,ship,fountain,conveyer belt,canopy,washer,plaything,swimming pool,stool,barrel,basket,waterfall,tent,bag,minibike,cradle,oven,ball,food,step,tank,trade name,microwave,pot,animal,bicycle,lake,dishwasher,screen,blanket,sculpture,hood,sconce,vase,traffic light,tray,ashcan,fan,pier,crt screen,plate,monitor,bulletin board,shower,radiator,glass,clock,flag,built_env,build2,accessibility,all_nature,greenspace,bluespace,other_nature,animate,tree_z,grass_z,plant_z,greenspace_z,bluespace_z,built_env_z,build2_z,animate_z,accessibility_z,road_z,sky_z
iFPUvXVYHaiJVrWfMWggAQ,47.26590209,-122.4992487,7,2012,sideAngle,180,270,"Seattle, WA",0,U,0,0,iFPUvXVYHaiJVrWfMWggAQ_270,iFPUvXVYHaiJVrWfMWggAQ_270,0.00012207,0.039812012,0.134082031,0.001013184,0.374160156,0,0.111318359,0,0,0.128486328,0,0,0,0.014802246,0,0,0,0.050817871,0,0,0.144716797,0,0,0,0,0.000668945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151921387,0.040480957,0,0.702348633,0.553464355,0,0.148884277,0.144716797,3,2,1,5,0,1,0,3,0,2,1
yiT5nzwrCiayAjYoSRC0Rw,47.6368071,-122.305605,6,2008,sideAngle,46,136,"Seattle, WA",0,U,0,0,yiT5nzwrCiayAjYoSRC0Rw_136,yiT5nzwrCiayAjYoSRC0Rw_136,0.000214844,0,0.216062012,0,0.105366211,0,0.025126953,0,0,0.133007813,0,0.051447754,0,0,0,0,0,0.089328613,0,0,0.117717285,0.07229248,0,0,0,0.189086914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000349121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266225586,0.189086914,0.051447754,0.616057129,0.327702637,0.07229248,0.216062012,0.117717285,1,2,1,3,1,2,2,2,1,0,2
Q2EScmhfaGEiL6xzQBougg,47.62843145,-122.3060546,6,2008,sideAngle,1,91,"Seattle, WA",0,U,0,0,Q2EScmhfaGEiL6xzQBougg_91,Q2EScmhfaGEiL6xzQBougg_91,0.0028125,0.011435547,0.119665527,0,0.355151367,0,0.007773438,0,0,0.209108887,0,0.005339355,0,0.001105957,0,0,0,0.009492188,0,0,0.114431152,0.072424316,0,0,0,0.051030273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00270752,0,0,0,0,0.025620117,0.010483398,0,0,0,0,0,0.001162109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000124512,0,0,0,0,0,0,0,0,0.000131836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115913086,0.06246582,0.04260498,0.766948242,0.573752441,0.072424316,0.120771484,0.114431152,3,3,0,5,1,1,1,2,1,0,1
KrsHs9V72DaOFAJ_sWXiIg,47.51205757,-122.1875251,8,2011,sideAngle,0,270,"Seattle, WA",0,U,0,0,KrsHs9V72DaOFAJ_sWXiIg_270,KrsHs9V72DaOFAJ_sWXiIg_270,0.015588379,0.024243164,0.346594238,0.026730957,0.074775391,0,0.007075195,0,0,0.112683105,0,0.004768066,0,0.010639648,0,0,0,0.061992188,0,0,0.027773438,0.06361084,0,0,0,0.103991699,0,0,0,0,0,0,0.005673828,0,0.083891602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028435059,0.001411133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00012207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191186523,0.128234863,0.034614258,0.754187012,0.249450684,0.06361084,0.441125488,0.027773438,1,2,1,2,1,2,1,1,1,0,3
_Z7hUkjU9QrEUGX3T121bQ,47.64791069,-122.4046546,5,2008,sideAngle,0,270,"Seattle, WA",0,U,0,0,_Z7hUkjU9QrEUGX3T121bQ_270,_Z7hUkjU9QrEUGX3T121bQ_270,0.006635742,0.086635742,0.374975586,0,0.03559082,0,0.148320313,0,0,0.002800293,0,0.043884277,0,0.062099609,0,0,0,0.093276367,0,0,0.060349121,0.046066895,0,0,0,0,0,0,0,0,0,0,0,0,0.014172363,0,0,0,0,0,0,0,0,0.001303711,0,0,0,0,0,0,0,0,0.01989502,0.003310547,0,0,0,0,0,0.000476074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00020752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310461426,0.086635742,0.067565918,0.628981934,0.13166748,0.046066895,0.451247559,0.060556641,0,0,1,1,1,3,1,1,1,3,3
nNGdrKhoZ4hGOLyFEiYg8g,47.63655492,-122.3462267,7,2011,sideAngle,90,0,"Seattle, WA",0,U,0,0,nNGdrKhoZ4hGOLyFEiYg8g_0,nNGdrKhoZ4hGOLyFEiYg8g_0,0.096247559,0.271101074,0.238417969,1.95E-05,0.020168457,0,0.01880127,0,0,0.107883301,0,0.00480957,0,0.010876465,0,0,0,0.126894531,0,0,0.05826416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046516113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.437475586,0.271101074,0.051325684,0.504240723,0.254946289,0,0.249294434,0.05826416,0,2,2,2,0,4,3,1,1,0,2
p3lvcKDiwxk4O-aFexVQzg,47.45646093,-122.1526761,7,2008,sideAngle,184,274,"Seattle, WA",0,U,0,0,p3lvcKDiwxk4O-aFexVQzg_274,p3lvcKDiwxk4O-aFexVQzg_274,0.000148926,0.053859863,0.051401367,0,0.447568359,0,0.048408203,0,0,0.13862793,0,0.085368652,0,0.040046387,0,0,0,0.053964844,0,0,0.000446777,0.076965332,0,0,0,0,0,0,0,0,0,0,0,0,0.00128418,0,0,0,0,0,0,0,0,0.001506348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000402832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189694824,0.053859863,0.085368652,0.809858398,0.640161133,0.076965332,0.092731934,0.000446777,4,2,1,6,1,2,1,0,2,1,0
OzAzXBo991hYWWLqugivZw,47.57642041,-122.3351367,6,2008,sideAngle,180,90,"Seattle, WA",0,U,0,0,OzAzXBo991hYWWLqugivZw_90,OzAzXBo991hYWWLqugivZw_90,0.000581055,0.301369629,0.296518555,0.000168457,0,0,0.024182129,0,0,3.66E-05,0,0.08609375,0,0.010378418,0,0,0,0.001032715,0,0,0.198842773,0.049394531,0,0,0,0,0,0,0,0,0,0,0.001853027,0,0,0,0,0,0,0,0,0,0,0.02894043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00060791,0,0,0,0,0,0,0,0,0,0,0,0.44302002,0.301369629,0.08609375,0.35736084,0.001069336,0.049394531,0.306896973,0.198842773,0,0,0,0,1,4,3,4,2,0,3
GkkHx2qHRi3nxRLdOjx7mA,47.66502478,-122.3616896,6,2008,sideAngle,270,0,"Seattle, WA",0,U,0,0,GkkHx2qHRi3nxRLdOjx7mA_0,GkkHx2qHRi3nxRLdOjx7mA_0,0.002543945,0.03013916,0.295959473,0.054660645,0.136381836,0,0.020332031,0,0,0.006496582,0,0.006499023,0.006135254,0.028464355,0,0.000483398,0,0.189072266,0,0,0.027990723,0.065527344,0,0,0,0.088486328,0,0,0,0,0,0,0.001030273,0,0,0,0,0,0,0,0,0,0,0.002241211,0,0,0,0,0,0,0,0,0.005224609,0.003549805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005583496,0,0,0,0,0,0,0,0,0,0.023198242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188828125,0.118625488,0.03847168,0.721901855,0.331950684,0.065527344,0.324423828,0.034125977,1,0,2,3,1,2,1,1,1,0,3
BmbQWdvJgiZseWJWklRtbg,47.82293589,-122.2521746,10,2015,sideAngle,290,20,"Seattle, WA",0,U,0,0,BmbQWdvJgiZseWJWklRtbg_20,BmbQWdvJgiZseWJWklRtbg_20,0.000693359,0,0.172416992,5.62E-05,0.191918945,0,0.124311523,0,0,0.119560547,0,0.087734375,0,0.010012207,0,0,0,0.048666992,0,0,0.05157959,0,0,0,0,0.178771973,0,0,0,0,0,0,0,0,0.008225098,0,0,0,0,0,0,0,0,0.001455078,0,0,0,0,0,0,0,0,0.001533203,0.002143555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00092041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.397563477,0.178771973,0.092331543,0.550800781,0.360146484,0,0.190654297,0.05157959,2,2,1,3,0,4,2,1,2,2,2
